Track 401: r_c =3, RMSE: 8.35, r_c=10 RMSE: 4.08
Track 402: r_c =3, RMSE: 3.19, r_c=10 RMSE: 3.08
Track 403: r_c =3, RMSE: 12.28, r_c=10 RMSE: 11.27
Track 404: r_c =3, RMSE: 5.04, r_c=10 RMSE: 4.78
Track 405: r_c =3, RMSE: 0.72, r_c=10 RMSE: 0.68
Track 406: r_c =3, RMSE: 2.26, r_c=10 RMSE: 3.74
Track 407: r_c =3, RMSE: 31.90, r_c=10 RMSE: 36.36
Track 408: r_c =3, RMSE: 71.76, r_c=10 RMSE: 3.07
Track 409: r_c =3, RMSE: 2.75, r_c=10 RMSE: 1.85
Track 410: r_c =3, RMSE: 1.76, r_c=10 RMSE: 1.81
Track 411: r_c =3, RMSE: 45.90, r_c=10 RMSE: 58.12
Track 412: r_c =3, RMSE: 18.62, r_c=10 RMSE: 6.35
Track 413: r_c =3, RMSE: 5.71, r_c=10 RMSE: 4.23
Track 414: r_c =3, RMSE: 4.15, r_c=10 RMSE: 3.08
Track 415: r_c =3, RMSE: 2.44, r_c=10 RMSE: 5.10
Track 416: r_c =3, RMSE: 18.44, r_c=10 RMSE: 26.33
Track 417: r_c =3, RMSE: 14.65, r_c=10 RMSE: 14.25
Track 418: r_c =3, RMSE: 2.31, r_c=10 RMSE: 3.14
Track 419: r_c =3, RMSE: 1.55, r_c=10 RMSE: 2.73
Track 420: r_c =3, RMSE: 3.12, r_c=10 RMSE: 10.35
Track 421: r_c =3, RMSE: 3.85, r_c=10 RMSE: 69.34
Track 422: r_c =3, RMSE: 7.33, r_c=10 RMSE: 8.65
Track 423: r_c =3, RMSE: 35.22, r_c=10 RMSE: 34.45
Track 424: r_c =3, RMSE: 40.40, r_c=10 RMSE: 36.40
Track 425: r_c =3, RMSE: 8.98, r_c=10 RMSE: 10.03
Track 426: r_c =3, RMSE: 7.56, r_c=10 RMSE: 6.66
Track 427: r_c =3, RMSE: 14.59, r_c=10 RMSE: 14.56
Track 428: r_c =3, RMSE: 51.54, r_c=10 RMSE: 39.75
Track 429: r_c =3, RMSE: 10.24, r_c=10 RMSE: 44.79
Track 430: r_c =3, RMSE: 4.88, r_c=10 RMSE: 8.86
Track 431: r_c =3, RMSE: 10.57, r_c=10 RMSE: 8.80
Track 432: r_c =3, RMSE: 10.36, r_c=10 RMSE: 10.68
Track 433: r_c =3, RMSE: 6.54, r_c=10 RMSE: 41.82
Track 434: r_c =3, RMSE: 9.75, r_c=10 RMSE: 9.63
Track 435: r_c =3, RMSE: 9.34, r_c=10 RMSE: 5.51
Track 436: r_c =3, RMSE: 6.51, r_c=10 RMSE: 4.44
Track 437: r_c =3, RMSE: 42.09, r_c=10 RMSE: 42.56
Track 438: r_c =3, RMSE: 10.42, r_c=10 RMSE: 5.82
